,,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025
East LA Total,,,,,,,"68,145","60,867","49,458",89.32%,72.58%,"67,647","60,402","49,136",89.29%,72.64%,"54,662","47,553","36,627",86.99%,67.01%,"30,270","28,275","24,510",93.41%,80.97%
,Delayed Interaction (Internet Based),,,,,,"33,163","29,014","21,901",87.49%,66.04%,"32,690","28,574","21,591",87.41%,66.05%,"31,539","27,498","20,757",87.19%,65.81%,"13,235","11,773","8,851",88.95%,66.88%
,Non Distance Education Methods,,,,,,"32,677","29,934","26,076",91.61%,79.80%,"32,652","29,909","26,064",91.60%,79.82%,"20,919","18,232","14,474",87.16%,69.19%,"16,340","15,898","15,183",97.29%,92.92%
,Simultaneous Interaction (Internet Based),,,,,,"2,305","1,919","1,481",83.25%,64.25%,"2,305","1,919","1,481",83.25%,64.25%,"2,204","1,823","1,396",82.71%,63.34%,695,604,476,86.91%,68.49%
El Camino Total,,"2,534","2,031","1,517",80.15%,59.87%,"57,342","50,096","41,720",87.36%,72.76%,"54,635","47,956","40,116",87.78%,73.43%,"54,177","47,560","39,829",87.79%,73.52%,"14,790","13,337","11,341",90.18%,76.68%
,Delayed Interaction (Internet Based),785,609,448,77.58%,57.07%,"23,469","20,374","16,757",86.81%,71.40%,"22,684","19,765","16,309",87.13%,71.90%,"22,567","19,662","16,217",87.13%,71.86%,"5,833","5,241","4,411",89.85%,75.62%
,Non Distance Education Methods,"1,749","1,422","1,069",81.30%,61.12%,"33,873","29,722","24,963",87.75%,73.70%,"31,951","28,191","23,807",88.23%,74.51%,"31,610","27,898","23,612",88.26%,74.70%,"8,957","8,096","6,930",90.39%,77.37%
Evergreen Valley Total,,391,357,325,91.30%,83.12%,"20,135","18,151","15,663",90.15%,77.79%,"18,877","17,031","14,690",90.22%,77.82%,"18,290","16,492","14,217",90.17%,77.73%,"4,413","4,021","3,550",91.12%,80.44%
,Delayed Interaction (Internet Based),,,,,,"8,814","8,079","7,059",91.66%,80.09%,"8,793","8,059","7,042",91.65%,80.09%,"8,686","7,976","6,974",91.83%,80.29%,"2,474","2,231","1,964",90.18%,79.39%
,Non Distance Education Methods,223,208,190,93.27%,85.20%,"10,744","9,573","8,185",89.10%,76.18%,"9,700","8,643","7,380",89.10%,76.08%,"9,220","8,187","6,975",88.80%,75.65%,"1,844","1,712","1,519",92.84%,82.38%
,Simultaneous Interaction (Internet Based),127,115,105,90.55%,82.68%,164,148,138,90.24%,84.15%,37,33,33,89.19%,89.19%,37,33,33,89.19%,89.19%,37,33,33,89.19%,89.19%
,"Text one-way (e.g. newspaper, correspondence, etc.)",41,34,30,82.93%,73.17%,413,351,281,84.99%,68.04%,347,296,235,85.30%,67.72%,347,296,235,85.30%,67.72%,58,45,34,77.59%,58.62%
Feather River Total,,,,,,,"5,987","5,736","5,195",95.81%,86.77%,"5,861","5,613","5,076",95.77%,86.61%,"4,505","4,305","3,868",95.56%,85.86%,"2,912","2,826","2,624",97.05%,90.11%
,Delayed Interaction (Internet Based),,,,,,"1,715","1,641","1,536",95.69%,89.56%,"1,704","1,632","1,527",95.77%,89.61%,"1,621","1,549","1,450",95.56%,89.45%,972,959,927,98.66%,95.37%
,Non Distance Education Methods,,,,,,"3,286","3,160","2,897",96.17%,88.16%,"3,203","3,078","2,816",96.10%,87.92%,"1,930","1,853","1,685",96.01%,87.31%,"1,733","1,671","1,533",96.42%,88.46%
,"Text one-way (e.g. newspaper, correspondence, etc.)",,,,,,986,935,762,94.83%,77.28%,954,903,733,94.65%,76.83%,954,903,733,94.65%,76.83%,207,196,164,94.69%,79.23%
Folsom Lake Total,,"1,670","1,455","1,200",87.13%,71.86%,"26,013","22,821","20,082",87.73%,77.20%,"24,203","21,231","18,759",87.72%,77.51%,"23,750","20,831","18,397",87.71%,77.46%,"6,288","5,614","5,018",89.28%,79.80%
,Delayed Interaction (Internet Based),"1,074",951,745,88.55%,69.37%,"17,691","15,542","13,584",87.85%,76.78%,"16,592","14,569","12,825",87.81%,77.30%,"16,302","14,314","12,597",87.81%,77.27%,"5,000","4,465","3,992",89.30%,79.84%
,Non Distance Education Methods,596,504,455,84.56%,76.34%,"8,283","7,244","6,464",87.46%,78.04%,"7,572","6,627","5,900",87.52%,77.92%,"7,409","6,482","5,766",87.49%,77.82%,"1,264","1,128","1,006",89.24%,79.59%
,Simultaneous Interaction (Internet Based),,,,,,39,35,34,89.74%,87.18%,39,35,34,89.74%,87.18%,39,35,34,89.74%,87.18%,24,21,20,87.50%,83.33%
Foothill Total,,469,455,409,97.01%,87.21%,"27,751","25,739","22,871",92.75%,82.42%,"27,107","25,118","22,315",92.66%,82.32%,"24,577","22,603","19,851",91.97%,80.77%,"10,555","10,069","9,401",95.40%,89.07%
,Delayed Interaction (Internet Based),198,192,170,96.97%,85.86%,"14,578","13,258","11,572",90.95%,79.38%,"14,300","12,987","11,336",90.82%,79.27%,"14,138","12,831","11,182",90.76%,79.09%,"5,436","5,079","4,658",93.43%,85.69%
,Non Distance Education Methods,235,227,207,96.60%,88.09%,"12,405","11,786","10,711",95.01%,86.34%,"12,075","11,472","10,423",95.01%,86.32%,"9,711","9,117","8,117",93.88%,83.59%,"5,050","4,923","4,682",97.49%,92.71%
,Simultaneous Interaction (Internet Based),36,36,32,100.00%,88.89%,768,695,588,90.49%,76.56%,732,659,556,90.03%,75.96%,728,655,552,89.97%,75.82%,69,67,61,97.10%,88.41%
Fresno City Total,,"1,268","1,149",883,90.62%,69.64%,"72,146","67,892","57,166",94.10%,79.24%,"65,426","61,326","50,934",93.73%,77.85%,"63,051","59,063","48,952",93.67%,77.64%,"30,487","29,034","25,803",95.23%,84.64%
,Delayed Interaction (Internet Based),294,259,221,88.10%,75.17%,"25,443","23,505","19,528",92.38%,76.75%,"25,046","23,161","19,238",92.47%,76.81%,"24,067","22,249","18,451",92.45%,76.67%,"9,835","8,994","7,469",91.45%,75.94%
,Non Distance Education Methods,963,879,651,91.28%,67.60%,"46,335","44,040","37,352",95.05%,80.61%,"40,023","37,829","31,421",94.52%,78.51%,"38,651","36,502","30,242",94.44%,78.24%,"20,515","19,908","18,216",97.04%,88.79%
,Simultaneous Interaction (Internet Based),11,11,11,100.00%,100.00%,368,347,286,94.29%,77.72%,357,336,275,94.12%,77.03%,333,312,259,93.69%,77.78%,137,132,118,96.35%,86.13%
Fullerton Total,,119,103,97,86.55%,81.51%,"55,960","48,483","39,889",86.64%,71.28%,"55,543","48,099","39,558",86.60%,71.22%,"54,406","47,028","38,555",86.44%,70.87%,"16,684","14,490","12,000",86.85%,71.93%
,Delayed Interaction (Internet Based),,,,,,"25,969","22,125","17,937",85.20%,69.07%,"25,939","22,100","17,930",85.20%,69.12%,"25,795","21,973","17,815",85.18%,69.06%,"8,576","7,206","5,818",84.03%,67.84%
,Non Distance Education Methods,119,103,97,86.55%,81.51%,"29,433","25,861","21,559",87.86%,73.25%,"29,046","25,502","21,235",87.80%,73.11%,"28,053","24,558","20,347",87.54%,72.53%,"7,809","7,022","5,986",89.92%,76.66%
,Simultaneous Interaction (Internet Based),,,,,,558,497,393,89.07%,70.43%,558,497,393,89.07%,70.43%,558,497,393,89.07%,70.43%,299,262,196,87.63%,65.55%
Gavilan Total,,369,316,255,85.64%,69.11%,"14,958","13,239","11,148",88.51%,74.53%,"13,936","12,304","10,314",88.29%,74.01%,"13,333","11,751","9,799",88.13%,73.49%,"3,675","3,324","2,928",90.45%,79.67%
,Delayed Interaction (Internet Based),7,7,6,100.00%,85.71%,"6,835","5,961","4,882",87.21%,71.43%,"6,765","5,893","4,824",87.11%,71.31%,"6,682","5,818","4,766",87.07%,71.33%,"1,899","1,661","1,369",87.47%,72.09%
,Non Distance Education Methods,344,292,237,84.88%,68.90%,"7,956","7,149","6,168",89.86%,77.53%,"7,022","6,299","5,404",89.70%,76.96%,"6,502","5,821","4,947",89.53%,76.08%,"1,764","1,653","1,550",93.71%,87.87%
,Simultaneous Interaction (Internet Based),18,17,12,94.44%,66.67%,167,129,98,77.25%,58.68%,149,112,86,75.17%,57.72%,149,112,86,75.17%,57.72%,12,10,9,83.33%,75.00%
Glendale Total,,347,326,306,93.95%,88.18%,"36,826","33,477","29,166",90.91%,79.20%,"35,971","32,676","28,425",90.84%,79.02%,"35,151","31,907","27,704",90.77%,78.81%,"9,444","8,831","8,049",93.51%,85.23%
,Non Distance Education Methods,280,271,252,96.79%,90.00%,"16,018","14,451","12,406",90.22%,77.45%,"15,230","13,705","11,719",89.99%,76.95%,"14,842","13,341","11,386",89.89%,76.71%,"3,196","2,959","2,676",92.58%,83.73%
,Simultaneous Interaction (Internet Based),67,55,54,82.09%,80.60%,"20,808","19,026","16,760",91.44%,80.55%,"20,741","18,971","16,706",91.47%,80.55%,"20,309","18,566","16,318",91.42%,80.35%,"6,248","5,872","5,373",93.98%,86.00%
Golden West Total,,251,234,212,93.23%,84.46%,"25,869","23,361","20,097",90.30%,77.69%,"25,542","23,053","19,812",90.26%,77.57%,"25,217","22,731","19,495",90.14%,77.31%,"5,004","4,666","4,242",93.25%,84.77%
,Delayed Interaction (Internet Based),,,,,,"14,209","12,817","10,745",90.20%,75.62%,"14,209","12,817","10,745",90.20%,75.62%,"14,209","12,817","10,745",90.20%,75.62%,"2,327","2,083","1,781",89.51%,76.54%
,Non Distance Education Methods,251,234,212,93.23%,84.46%,"11,508","10,398","9,215",90.35%,80.07%,"11,257","10,164","9,003",90.29%,79.98%,"10,932","9,842","8,686",90.03%,79.45%,"2,601","2,509","2,388",96.46%,91.81%
,Simultaneous Interaction (Internet Based),,,,,,152,146,137,96.05%,90.13%,76,72,64,94.74%,84.21%,76,72,64,94.74%,84.21%,76,74,73,97.37%,96.05%
Grossmont Total,,"2,345","2,049","1,650",87.38%,70.36%,"39,296","34,546","29,371",87.91%,74.74%,"36,617","32,196","27,449",87.93%,74.96%,"36,597","32,176","27,429",87.92%,74.95%,"7,874","7,007","6,202",88.99%,78.77%
,Delayed Interaction (Internet Based),349,286,230,81.95%,65.90%,"19,131","16,629","14,098",86.92%,73.69%,"18,755","16,325","13,853",87.04%,73.86%,"18,755","16,325","13,853",87.04%,73.86%,"4,574","3,975","3,426",86.90%,74.90%
,Non Distance Education Methods,"1,996","1,763","1,420",88.33%,71.14%,"20,165","17,917","15,273",88.85%,75.74%,"17,862","15,871","13,596",88.85%,76.12%,"17,842","15,851","13,576",88.84%,76.09%,"3,300","3,032","2,776",91.88%,84.12%
Hartnell Total,,25,19,11,76.00%,44.00%,"29,398","26,387","21,567",89.76%,73.36%,"29,244","26,241","21,434",89.73%,73.29%,"27,238","24,342","19,705",89.37%,72.34%,"6,628","6,077","5,209",91.69%,78.59%
,Delayed Interaction (Internet Based),6,4,2,66.67%,33.33%,"12,317","10,794","8,419",87.63%,68.35%,"12,310","10,789","8,416",87.64%,68.37%,"12,252","10,739","8,373",87.65%,68.34%,"2,529","2,204","1,749",87.15%,69.16%
,Non Distance Education Methods,19,15,9,78.95%,47.37%,"16,987","15,506","13,069",91.28%,76.94%,"16,840","15,365","12,939",91.24%,76.83%,"14,892","13,516","11,253",90.76%,75.56%,"4,099","3,873","3,460",94.49%,84.41%
,Simultaneous Interaction (Internet Based),,,,,,94,87,79,92.55%,84.04%,94,87,79,92.55%,84.04%,94,87,79,92.55%,84.04%,,,,,
Imperial Total,,807,700,553,86.74%,68.53%,"26,196","23,698","19,050",90.46%,72.72%,"25,184","22,816","18,348",90.60%,72.86%,"24,602","22,281","17,869",90.57%,72.63%,"6,122","5,688","4,932",92.91%,80.56%
,Delayed Interaction (Internet Based),262,215,158,82.06%,60.31%,"14,385","12,982","10,199",90.25%,70.90%,"14,123","12,767","10,041",90.40%,71.10%,"13,995","12,658","9,957",90.45%,71.15%,"2,433","2,256","1,853",92.73%,76.16%
,Non Distance Education Methods,545,485,395,88.99%,72.48%,"10,965","9,961","8,278",90.84%,75.49%,"10,215","9,294","7,734",90.98%,75.71%,"9,761","8,868","7,339",90.85%,75.19%,"3,582","3,350","3,021",93.52%,84.34%
,Simultaneous Interaction (Internet Based),,,,,,846,755,573,89.24%,67.73%,846,755,573,89.24%,67.73%,846,755,573,89.24%,67.73%,107,82,58,76.64%,54.21%
Irvine Total,,739,674,506,91.20%,68.47%,"34,746","31,875","26,644",91.74%,76.68%,"33,794","30,995","25,951",91.72%,76.79%,"32,757","30,022","25,104",91.65%,76.64%,"6,235","5,703","4,860",91.47%,77.95%
,Delayed Interaction (Internet Based),,,,,,"13,866","12,673","10,452",91.40%,75.38%,"13,732","12,546","10,338",91.36%,75.28%,"13,277","12,129","9,977",91.35%,75.14%,"3,169","2,882","2,405",90.94%,75.89%
,Non Distance Education Methods,739,674,506,91.20%,68.47%,"18,955","17,451","14,750",92.07%,77.82%,"18,211","16,772","14,239",92.10%,78.19%,"17,887","16,450","13,949",91.97%,77.98%,"2,198","2,028","1,769",92.27%,80.48%
,Simultaneous Interaction (Internet Based),,,,,,"1,925","1,751","1,442",90.96%,74.91%,"1,851","1,677","1,374",90.60%,74.23%,"1,593","1,443","1,178",90.58%,73.95%,868,793,686,91.36%,79.03%
LA City Total,,298,280,239,93.96%,80.20%,"32,025","28,149","23,529",87.90%,73.47%,"31,727","27,869","23,290",87.84%,73.41%,"31,406","27,559","23,077",87.75%,73.48%,"10,228","9,177","7,860",89.72%,76.85%
,Delayed Interaction (Internet Based),,,,,,"17,057","14,930","12,422",87.53%,72.83%,"17,057","14,930","12,422",87.53%,72.83%,"16,887","14,767","12,333",87.45%,73.03%,"6,586","5,809","4,889",88.20%,74.23%
,Non Distance Education Methods,157,150,127,95.54%,80.89%,"11,270","10,009","8,414",88.81%,74.66%,"11,113","9,859","8,287",88.72%,74.57%,"11,032","9,779","8,216",88.64%,74.47%,"2,976","2,776","2,484",93.28%,83.47%
,Simultaneous Interaction (Internet Based),141,130,112,92.20%,79.43%,"3,698","3,210","2,693",86.80%,72.82%,"3,557","3,080","2,581",86.59%,72.56%,"3,487","3,013","2,528",86.41%,72.50%,666,592,487,88.89%,73.12%
LA Harbor Total,,23,22,22,95.65%,95.65%,"19,624","17,709","14,449",90.24%,73.63%,"19,601","17,687","14,427",90.24%,73.60%,"19,524","17,616","14,365",90.23%,73.58%,"4,006","3,683","2,917",91.94%,72.82%
,Delayed Interaction (Internet Based),8,8,8,100.00%,100.00%,"12,082","10,774","8,675",89.17%,71.80%,"12,074","10,766","8,667",89.17%,71.78%,"12,052","10,744","8,646",89.15%,71.74%,"2,338","2,086","1,534",89.22%,65.61%
,Non Distance Education Methods,15,14,14,93.33%,93.33%,"7,177","6,576","5,441",91.63%,75.81%,"7,162","6,562","5,427",91.62%,75.77%,"7,120","6,526","5,398",91.66%,75.81%,"1,544","1,473","1,272",95.40%,82.38%
,Simultaneous Interaction (Internet Based),,,,,,365,359,333,98.36%,91.23%,365,359,333,98.36%,91.23%,352,346,321,98.30%,91.19%,124,124,111,100.00%,89.52%
LA Mission Total,,15,15,14,100.00%,93.33%,"22,663","20,258","16,043",89.39%,70.79%,"22,648","20,243","16,029",89.38%,70.77%,"22,075","19,713","15,557",89.30%,70.47%,"6,872","6,204","5,071",90.28%,73.79%
,Delayed Interaction (Internet Based),,,,,,"15,006","13,258","10,351",88.35%,68.98%,"15,006","13,258","10,351",88.35%,68.98%,"14,889","13,151","10,259",88.33%,68.90%,"4,639","4,120","3,243",88.81%,69.91%
,Non Distance Education Methods,15,15,14,100.00%,93.33%,"6,771","6,208","5,018",91.69%,74.11%,"6,756","6,193","5,004",91.67%,74.07%,"6,498","5,954","4,775",91.63%,73.48%,"1,723","1,612","1,418",93.56%,82.30%
,Simultaneous Interaction (Internet Based),,,,,,886,792,674,89.39%,76.07%,886,792,674,89.39%,76.07%,688,608,523,88.37%,76.02%,510,472,410,92.55%,80.39%
LA Pierce Total,,122,117,115,95.90%,94.26%,"41,706","37,103","30,929",88.96%,74.16%,"41,350","36,783","30,645",88.96%,74.11%,"40,753","36,236","30,172",88.92%,74.04%,"10,096","9,161","7,649",90.74%,75.76%
,Delayed Interaction (Internet Based),31,31,31,100.00%,100.00%,"21,873","19,478","16,205",89.05%,74.09%,"21,608","19,244","16,005",89.06%,74.07%,"21,405","19,061","15,853",89.05%,74.06%,"5,147","4,622","3,775",89.80%,73.34%
,Non Distance Education Methods,91,86,84,94.51%,92.31%,"17,490","15,579","13,084",89.07%,74.81%,"17,399","15,493","13,000",89.05%,74.72%,"17,025","15,147","12,697",88.97%,74.58%,"3,883","3,587","3,099",92.38%,79.81%
,Simultaneous Interaction (Internet Based),,,,,,"2,343","2,046","1,640",87.32%,70.00%,"2,343","2,046","1,640",87.32%,70.00%,"2,323","2,028","1,622",87.30%,69.82%,"1,066",952,775,89.31%,72.70%
LA Swest Total,,42,39,34,92.86%,80.95%,"10,042","8,928","6,879",88.91%,68.50%,"9,796","8,690","6,684",88.71%,68.23%,"9,662","8,563","6,577",88.63%,68.07%,"2,582","2,280","1,731",88.30%,67.04%
,Delayed Interaction (Internet Based),,,,,,"6,680","5,934","4,374",88.83%,65.48%,"6,603","5,860","4,321",88.75%,65.44%,"6,476","5,739","4,216",88.62%,65.10%,"2,081","1,799","1,291",86.45%,62.04%
,Non Distance Education Methods,42,39,34,92.86%,80.95%,"2,261","2,093","1,785",92.57%,78.95%,"2,092","1,929","1,643",92.21%,78.54%,"2,085","1,923","1,641",92.23%,78.71%,478,459,423,96.03%,88.49%
,Simultaneous Interaction (Internet Based),,,,,,"1,101",901,720,81.83%,65.40%,"1,101",901,720,81.83%,65.40%,"1,101",901,720,81.83%,65.40%,23,22,17,95.65%,73.91%
LA Trade Total,,,,,,,"29,979","26,460","21,468",88.26%,71.61%,"29,873","26,360","21,376",88.24%,71.56%,"21,264","18,573","14,527",87.34%,68.32%,"17,583","15,854","13,531",90.17%,76.96%
,Delayed Interaction (Internet Based),,,,,,"8,265","7,028","5,293",85.03%,64.04%,"8,265","7,028","5,293",85.03%,64.04%,"7,974","6,766","5,104",84.85%,64.01%,"2,924","2,511","1,915",85.88%,65.49%
,Non Distance Education Methods,,,,,,"19,206","17,283","14,332",89.99%,74.62%,"19,100","17,183","14,240",89.96%,74.55%,"11,502","10,309","8,183",89.63%,71.14%,"13,119","12,009","10,410",91.54%,79.35%
,Simultaneous Interaction (Internet Based),,,,,,"2,508","2,149","1,843",85.69%,73.48%,"2,508","2,149","1,843",85.69%,73.48%,"1,788","1,498","1,240",83.78%,69.35%,"1,540","1,334","1,206",86.62%,78.31%
LA Valley Total,,197,179,140,90.86%,71.07%,"36,088","32,425","26,946",89.85%,74.67%,"35,873","32,232","26,793",89.85%,74.69%,"34,799","31,236","25,878",89.76%,74.36%,"9,204","8,331","7,059",90.51%,76.69%
,Delayed Interaction (Internet Based),77,77,61,100.00%,79.22%,"21,722","19,668","16,146",90.54%,74.33%,"21,645","19,591","16,085",90.51%,74.31%,"21,494","19,454","15,967",90.51%,74.29%,"6,750","6,064","5,016",89.84%,74.31%
,Non Distance Education Methods,108,92,76,85.19%,70.37%,"11,767","10,473","8,884",89.00%,75.50%,"11,641","10,367","8,795",89.06%,75.55%,"11,331","10,088","8,552",89.03%,75.47%,"2,285","2,106","1,898",92.17%,83.06%
,Simultaneous Interaction (Internet Based),12,10,3,83.33%,25.00%,"2,599","2,284","1,916",87.88%,73.72%,"2,587","2,274","1,913",87.90%,73.95%,"1,974","1,694","1,359",85.82%,68.84%,169,161,145,95.27%,85.80%
Lake Tahoe Total,,,,,,,"7,173","6,924","5,923",96.53%,82.57%,"5,290","5,043","4,045",95.33%,76.47%,"4,949","4,711","3,769",95.19%,76.16%,"3,414","3,347","3,041",98.04%,89.07%
,Delayed Interaction (Internet Based),,,,,,"2,523","2,398","1,867",95.05%,74.00%,"2,516","2,392","1,864",95.07%,74.09%,"2,412","2,288","1,799",94.86%,74.59%,789,752,524,95.31%,66.41%
,Non Distance Education Methods,,,,,,"3,992","3,896","3,538",97.60%,88.63%,"2,116","2,021","1,663",95.51%,78.59%,"1,879","1,793","1,452",95.42%,77.28%,"2,545","2,516","2,448",98.86%,96.19%
,"Text one-way (e.g. newspaper, correspondence, etc.)",,,,,,625,597,489,95.52%,78.24%,625,597,489,95.52%,78.24%,625,597,489,95.52%,78.24%,52,51,44,98.08%,84.62%
,Two-way interactive video and audio,,,,,,33,33,29,100.00%,87.88%,33,33,29,100.00%,87.88%,33,33,29,100.00%,87.88%,28,28,25,100.00%,89.29%
Laney Total,,685,604,538,88.18%,78.54%,"17,320","14,981","12,748",86.50%,73.60%,"16,587","14,329","12,165",86.39%,73.34%,"13,405","11,520","9,731",85.94%,72.59%,"5,620","4,880","4,194",86.83%,74.63%
,Delayed Interaction (Internet Based),15,11,9,73.33%,60.00%,"5,288","4,519","3,757",85.46%,71.05%,"5,273","4,508","3,748",85.49%,71.08%,"4,845","4,155","3,464",85.76%,71.50%,"1,299","1,066",910,82.06%,70.05%
,Non Distance Education Methods,444,396,354,89.19%,79.73%,"9,859","8,604","7,396",87.27%,75.02%,"9,367","8,160","6,997",87.11%,74.70%,"7,299","6,298","5,344",86.29%,73.22%,"3,097","2,743","2,380",88.57%,76.85%
,Simultaneous Interaction (Internet Based),226,197,175,87.17%,77.43%,"2,173","1,858","1,595",85.50%,73.40%,"1,947","1,661","1,420",85.31%,72.93%,"1,261","1,067",923,84.62%,73.20%,"1,224","1,071",904,87.50%,73.86%
Las Positas Total,,243,213,176,87.65%,72.43%,"24,701","22,149","19,220",89.67%,77.81%,"24,458","21,936","19,044",89.69%,77.86%,"23,458","20,983","18,154",89.45%,77.39%,"6,001","5,385","4,789",89.74%,79.80%
,Delayed Interaction (Internet Based),,,,,,"4,347","3,873","3,354",89.10%,77.16%,"4,347","3,873","3,354",89.10%,77.16%,"4,320","3,850","3,338",89.12%,77.27%,"1,239","1,083",966,87.41%,77.97%
,Non Distance Education Methods,243,213,176,87.65%,72.43%,"20,354","18,276","15,866",89.79%,77.95%,"20,111","18,063","15,690",89.82%,78.02%,"19,138","17,133","14,816",89.52%,77.42%,"4,762","4,302","3,823",90.34%,80.28%
Lassen Total,,,,,,,"5,397","5,025","4,396",93.11%,81.45%,"5,314","4,942","4,314",93.00%,81.18%,"4,674","4,329","3,737",92.62%,79.95%,"1,526","1,461","1,343",95.74%,88.01%
,Delayed Interaction (Internet Based),,,,,,"2,354","2,162","1,777",91.84%,75.49%,"2,354","2,162","1,777",91.84%,75.49%,"2,289","2,103","1,736",91.87%,75.84%,330,305,244,92.42%,73.94%
,Non Distance Education Methods,,,,,,"2,415","2,311","2,186",95.69%,90.52%,"2,332","2,228","2,104",95.54%,90.22%,"1,789","1,703","1,593",95.19%,89.04%,"1,196","1,156","1,099",96.66%,91.89%
,"Text one-way (e.g. newspaper, correspondence, etc.)",,,,,,628,552,433,87.90%,68.95%,628,552,433,87.90%,68.95%,596,523,408,87.75%,68.46%,,,,,
Lemoore College Total,,226,196,145,86.73%,64.16%,"12,104","11,282","9,932",93.21%,82.06%,"11,878","11,086","9,787",93.33%,82.40%,"11,330","10,572","9,344",93.31%,82.47%,"3,003","2,847","2,606",94.81%,86.78%
,Delayed Interaction (Internet Based),,,,,,"7,317","6,877","6,113",93.99%,83.55%,"7,317","6,877","6,113",93.99%,83.55%,"7,282","6,845","6,090",94.00%,83.63%,"1,797","1,692","1,543",94.16%,85.87%
,Non Distance Education Methods,226,196,145,86.73%,64.16%,"4,787","4,405","3,819",92.02%,79.78%,"4,561","4,209","3,674",92.28%,80.55%,"4,048","3,727","3,254",92.07%,80.39%,"1,206","1,155","1,063",95.77%,88.14%
Long Beach Total,,99,91,66,91.92%,66.67%,"68,098","61,154","48,972",89.80%,71.91%,"67,950","61,018","48,879",89.80%,71.93%,"61,450","54,998","43,604",89.50%,70.96%,"19,866","18,145","15,159",91.34%,76.31%
,Delayed Interaction (Internet Based),19,19,12,100.00%,63.16%,"30,837","27,751","22,222",89.99%,72.06%,"30,790","27,707","22,196",89.99%,72.09%,"28,523","25,686","20,556",90.05%,72.07%,"9,422","8,438","6,781",89.56%,71.97%
,Non Distance Education Methods,80,72,54,90.00%,67.50%,"37,199","33,345","26,705",89.64%,71.79%,"37,098","33,253","26,638",89.64%,71.80%,"32,896","29,282","23,020",89.01%,69.98%,"10,382","9,649","8,333",92.94%,80.26%
,Simultaneous Interaction (Internet Based),,,,,,62,58,45,93.55%,72.58%,62,58,45,93.55%,72.58%,31,30,28,96.77%,90.32%,62,58,45,93.55%,72.58%
Los Medanos Total,,53,50,48,94.34%,90.57%,"23,972","21,529","18,215",89.81%,75.98%,"23,811","21,371","18,060",89.75%,75.85%,"22,856","20,579","17,413",90.04%,76.19%,"6,544","6,000","5,232",91.69%,79.95%
,Delayed Interaction (Internet Based),23,20,20,86.96%,86.96%,"9,181","8,181","6,924",89.11%,75.42%,"9,146","8,149","6,893",89.10%,75.37%,"8,701","7,774","6,604",89.35%,75.90%,"2,440","2,193","1,897",89.88%,77.75%
,Non Distance Education Methods,30,30,28,100.00%,93.33%,"14,168","12,781","10,779",90.21%,76.08%,"14,042","12,655","10,655",90.12%,75.88%,"13,645","12,337","10,387",90.41%,76.12%,"3,622","3,371","2,944",93.07%,81.28%
,Simultaneous Interaction (Internet Based),,,,,,623,567,512,91.01%,82.18%,623,567,512,91.01%,82.18%,510,468,422,91.76%,82.75%,482,436,391,90.46%,81.12%
Madera Total,,103,99,80,96.12%,77.67%,"12,723","12,022","9,545",94.49%,75.02%,"12,440","11,759","9,339",94.53%,75.07%,"12,207","11,560","9,171",94.70%,75.13%,"3,578","3,329","2,741",93.04%,76.61%
,Delayed Interaction (Internet Based),63,61,45,96.83%,71.43%,"7,558","7,129","5,761",94.32%,76.22%,"7,469","7,052","5,702",94.42%,76.34%,"7,339","6,947","5,620",94.66%,76.58%,"2,649","2,450","1,980",92.49%,74.75%
,Non Distance Education Methods,40,38,35,95.00%,87.50%,"4,774","4,518","3,504",94.64%,73.40%,"4,590","4,342","3,366",94.60%,73.33%,"4,487","4,248","3,280",94.67%,73.10%,891,844,732,94.73%,82.15%
,Simultaneous Interaction (Internet Based),,,,,,391,375,280,95.91%,71.61%,381,365,271,95.80%,71.13%,381,365,271,95.80%,71.13%,38,35,29,92.11%,76.32%
Marin Total,,33,30,25,90.91%,75.76%,"12,837","11,463","9,908",89.30%,77.18%,"12,670","11,300","9,752",89.19%,76.97%,"12,461","11,132","9,623",89.33%,77.22%,"3,397","3,136","2,718",92.32%,80.01%
,Delayed Interaction (Internet Based),,,,,,"2,837","2,426","2,001",85.51%,70.53%,"2,837","2,426","2,001",85.51%,70.53%,"2,810","2,399","1,976",85.37%,70.32%,918,811,660,88.34%,71.90%
,Non Distance Education Methods,33,30,25,90.91%,75.76%,"9,959","9,004","7,880",90.41%,79.12%,"9,792","8,841","7,724",90.29%,78.88%,"9,610","8,700","7,620",90.53%,79.29%,"2,465","2,314","2,048",93.87%,83.08%
,Simultaneous Interaction (Internet Based),,,,,,41,33,27,80.49%,65.85%,41,33,27,80.49%,65.85%,41,33,27,80.49%,65.85%,14,11,10,78.57%,71.43%
Mendocino Total,,21,19,17,90.48%,80.95%,"10,311","9,386","8,021",91.03%,77.79%,"10,138","9,231","7,887",91.05%,77.80%,"9,720","8,862","7,581",91.17%,77.99%,"3,643","3,332","2,794",91.46%,76.70%
